CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
308.4,21,21,70082,1,100,91311,Office,68.9,147.4,297.7,1980
44.9,-15.9,-15.9,10988,1,100,90035,Fire Station,64.2,129.8,230.8,1949
5.8,-88.6,-88.6,25458,1,100,90006,Multifamily Housing,3.3,9.1,1795.4,1973
1251.1,52,52,364997,1,100,90014,Multifamily Housing,53.3,116.3,13324.3,2015
2136.6,361.5,361.5,135309,1,100,90045,Other,230.5,568.2,1065.2,2001
2636.6,236.7,236.7,465861,5,100,90029,Worship Facility,86.9,196.8,21966.1,1943
69.3,-27,-27,23343,1,95,90025,Multifamily Housing,50.9,80.2,3186,1972
559.4,-53.8,-53.8,243474,1,100,91303,Retail Store,30.3,95.1,3129.7,1994
113.6,-24.1,-24.1,48318,1,95,91423,Multifamily Housing,37.3,76.4,1602.6,2010
58,5,5,21114,1,100,90046,Multifamily Housing,44.8,84,1486.4,1987
0.3,-99.5,-99.5,27500,1,0,90021,Other,0.2,0.4,18,1958
11.3,-41.2,-41.2,20205,1,100,91331,Distribution Center,7.9,22.1,355.6,1971
1050.5,43.7,43.7,99783,1,100,90089,Medical Office,181.7,279.3,1715.9,2012
96.1,37.9,37.9,23450,1,95,91405,Multifamily Housing,58.2,162.9,1707.8,1978
96.8,14.6,14.6,22243,1,80,91325,Multifamily Housing,71.9,128.9,1361.5,1972
191.3,-5.7,-5.7,82491,1,100,90017,Multifamily Housing,37.5,72.4,2690,2007
114.3,84.7,84.7,24568,1,100,91411,Multifamily Housing,72.4,157.4,441.4,1964
57.5,-10.2,-10.2,23642,1,95,90066,Multifamily Housing,39.8,73.5,947.2,1969
5.4,-90,-90,27292,1,100,91607,Multifamily Housing,2.8,7.8,1281.4,1961
32.6,-54.5,-54.5,35524,1,95,90064,Multifamily Housing,13,36.5,1030.1,1970
483.3,-40.5,-40.5,149668,1,80,91411,Office,47.6,120.9,2568.9,1989
443.8,23.8,23.8,83427,1,70,90020,Enclosed Mall,75.5,211.4,11767.1,2015
151.8,7.2,7.2,37364,1,95,91324,Multifamily Housing,70.4,106.3,3880.1,1996
73.4,-67.4,-67.4,115261,1,100,90057,Multifamily Housing,9,25.3,2735.9,1962
81.8,56.1,56.1,14500,1,100,90012,Library,80.1,224.3,320.9,2003
124.8,-25.4,-25.4,57103,1,100,91356,Multifamily Housing,35.6,67.2,1816.3,1985
223.1,48.7,48.7,60564,1,100,90046,Multifamily Housing,58.7,118.9,3699.1,1961
43.4,-10.5,-10.5,20000,1,50,90001,Office,32.3,79.9,55.3,1948
70.1,57,57,37095,1,100,90006,Self-Storage Facility,26.8,75.1,47.2,1932
231.7,40.7,40.7,59319,1,100,90028,Vocational School,55.4,155.2,1618.4,1955
26335.8,11.6,11.6,489722,1,90,90017,Data Center,620.4,1938.5,23213.7,1922
598.4,-59.9,-59.9,279268,1,80,90071,Office,32.2,77.4,3145.4,1931
75.9,-64,-64,37220,1,65,90036,Other - Mall,29,81.1,505.6,1977
389.8,-55.2,-55.2,326931,1,100,90014,Non-Refrigerated Warehouse,15.7,49.4,1352.6,1966
79.4,-23.3,-23.3,26223,1,100,91402,Multifamily Housing,52,81.5,1392.1,1977
42.4,-59,-59,28000,1,100,91325,Multifamily Housing,26.1,40.2,1415.2,1986
194.7,107.3,107.3,41849,1,100,90029,Multifamily Housing,72.4,157.4,751.3,2008
