CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
101.3,-34.1,-34.1,57960,1,100,91331,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",24.7,66.1,625.5,2015
383.4,40.4,40.4,177166,4,100,91342,Distribution Center,33.5,74.2,9126.2,1977
93.4,-36.2,-36.2,51492,1,100,91402,Multifamily Housing,25.7,72.1,4718.7,1986
81.1,-6.2,-6.2,22721,1,100,90020,Multifamily Housing,61.9,93.7,2117.1,1970
118.6,-37.9,-37.9,67132,1,100,90021,Multifamily Housing,27.2,58.1,3769.5,1994
9.3,-73.2,-73.2,31070,1,100,91605,Non-Refrigerated Warehouse,4.2,11.9,74.8,1975
82.3,-17.1,-17.1,62880,1,95,90064,Multifamily Housing,18.6,52,2130.5,1973
936.4,133,133,129567,0,100,91326,Wholesale Club/Supercenter,108.4,266.7,2183,2010
14,-64,-64,36500,1,100,91605,Non-Refrigerated Warehouse,5.4,15.2,499.7,1959
8.3,-86.3,-86.3,29502,1,100,91316,Multifamily Housing,4,11.1,1710,1971
135,-26.7,-26.7,139000,1,100,90038,Non-Refrigerated Warehouse,12.9,40,412.9,1920
163.2,96.8,96.8,35068,1,100,91601,Multifamily Housing,72.4,157.4,629.6,1987
2351.9,-13.8,-13.8,530000,1,85,90036,Office,66.3,162.2,9919.3,1944
24.1,-76.4,-76.4,18200,1,100,90004,Multifamily Housing,24.5,27.9,1090.3,1929
76.7,3.1,3.1,29407,1,95,91606,Multifamily Housing,40,91,1314,1992
252,58.6,58.6,24384,1,95,91607,Senior Care Community,166.7,324.5,3089.2,1969
38,-73.5,-73.5,31016,1,95,91411,Multifamily Housing,21.7,29.9,3004.2,1981
253.8,268.3,268.3,54545,1,100,91324,Non-Refrigerated Warehouse,72.4,157.4,979.3,1979
14.9,-93.2,-93.2,38760,1,100,91411,Other - Mall,5.4,15.2,88.9,1966
83.6,-72.9,-72.9,75000,1,95,90046,Multifamily Housing,19.3,29.3,3464.3,1987
366.7,0.9,0.9,52947,1,100,90004,College/University,97,264.9,1425.5,1983
55.5,-60.7,-60.7,52124,1,95,91316,Multifamily Housing,14,44.1,2090.8,1985
61.6,-4.3,-4.3,25540,1,100,90027,Multifamily Housing,39.5,73.2,602.9,1963
90.2,-73.3,-73.3,63766,15,100,90042,Multifamily Housing,26,30.6,5603.1,2001
129.2,-24.1,-24.1,88862,1,95,90027,Multifamily Housing,20.6,57.8,5968.7,1972
486.1,14.5,14.5,23200,0,100,91343,Supermarket/Grocery Store,330.7,689.5,17.6,1970
38,-72.6,-72.6,108327,8,95,91345,Self-Storage Facility,5.2,13.1,902.4,2002
36.9,-74.1,-74.1,21790,1,100,91423,Multifamily Housing,30.7,38.5,1463.5,1960
100.6,16.9,16.9,21618,1,100,91423,Office,72.4,157.4,388.1,1989
106,-17.3,-17.3,53640,2,100,90041,Multifamily Housing,32.8,58,2024.2,2004
967.6,36.4,36.4,242972,1,100,91367,Multifamily Housing,63.5,122.7,18.7,2008
1348,36.7,36.7,351000,7,95,90035,Multifamily Housing,66.2,102.2,11557.7,1989
309.5,-46.3,-46.3,134189,1,100,90006,Enclosed Mall,32.7,91.7,9658.7,2001
154.2,-68.9,-68.9,93342,1,100,90033,Medical Office,23.6,65.2,4042,2014
40.7,-97,-97,794376,1,95,91367,Multifamily Housing,1.3,3.8,36.2,2016
40.8,-28.7,-28.7,11600,1,100,90018,Fire Station,55.7,110.1,217,2010
113.5,344.4,344.4,10720,1,100,91356,Other - Recreation,141.7,430.3,7022,1977
52.5,-8.4,-8.4,21216,1,95,90025,Multifamily Housing,39.3,80.4,1077.2,1963
13.7,-86.4,-86.4,84000,0,90,90038,Self-Storage Facility,2.3,6.5,173,1923
924.8,-17.2,-17.2,328657,1,95,90017,Multifamily Housing,44.9,90.7,12838.9,2002
268.5,-62.2,-62.2,211105,1,95,90020,Multifamily Housing,21,36.3,11538,1990
384.4,-9.7,-9.7,178822,1,95,90049,Multifamily Housing,33.6,68.9,5190,1968
275.9,-22.1,-22.1,126801,3,95,90064,Multifamily Housing,35.9,65,4367.9,1999
67.3,-22.6,-22.6,21811,1,100,90066,Multifamily Housing,52.1,86.5,1043.4,1963
670.5,-44.2,-44.2,187921,1,100,90028,Office,50.9,141,2873.8,1972
24.3,-86.4,-86.4,94000,1,100,91605,Distribution Center,3.5,10.3,163.1,1975
17.4,-74.1,-74.1,23000,1,95,91604,Office,10.8,30.1,232.9,1988
95.4,243.2,243.2,11675,1,100,90019,Other - Recreation,109.3,332.3,351.6,2001
71.9,-23.2,-23.2,42650,1,100,90049,Multifamily Housing,27.6,51,998.6,1963
578.2,-50.3,-50.3,210487,1,90,90024,Office,40.3,103.6,1878.8,1986
12.3,-88.6,-88.6,50000,1,100,91343,Multifamily Housing,3.5,9.7,7.7,1988
637.7,63,63,67731,1,100,90012,Medical Office,154.1,286.1,3375,1968
526.4,1,1,34187,1,100,90064,Supermarket/Grocery Store,235.5,539.2,2785.6,1976
122.9,-56.5,-56.5,234755,3,90,91411,Self-Storage Facility,7.4,20.8,1123.6,1989
223.2,-11.3,-11.3,90776,1,95,90007,Multifamily Housing,33.2,78.1,7604.9,1977
131,39.5,39.5,35566,1,100,91325,Multifamily Housing,58.7,118.9,2253.5,1964
125.7,-4.3,-4.3,48902,1,95,91406,Multifamily Housing,37.7,92,1017.5,1987
272.2,-28,-28,155529,1,100,90023,Multifamily Housing,28.1,55.6,6667.4,2012
257.1,62.9,62.9,108162,1,100,91406,Distribution Center,33.2,91.3,472,1980
95,-13.6,-13.6,51644,1,100,90048,Multifamily Housing,29,60.8,1414.6,1985
31.7,-55.5,-55.5,28882,2,95,91423,Multifamily Housing,16,41.8,1265.4,1954
192.1,-15,-15,67664,1,100,90046,Multifamily Housing,46.7,85.5,3927.3,1984
526.5,-27.6,-27.6,165042,1,90,90020,Enclosed Mall,46,123.6,19546.5,2007
14.9,-79,-79,31374,1,100,91602,Multifamily Housing,6.8,18.9,1345.4,1985
32.7,-77.9,-77.9,102000,4,100,90023,Distribution Center,4.2,13.3,120,1941
588.3,-13.4,-13.4,190954,1,100,90013,Multifamily Housing,44.1,92.1,11420.6,1912
47.9,-62.9,-62.9,36710,1,100,90028,Multifamily Housing,23.6,30.1,2283.1,1963
150.8,-28.7,-28.7,59853,1,100,90029,Multifamily Housing,41,77.4,2887.6,2009
533,-40,-40,231077,1,100,91304,Multifamily Housing,36.8,71,16991.3,1969
2143.4,2653.4,2653.4,30962,1,100,91364,Multifamily Housing,1076.5,2347.3,8172.7,1963
466.7,33.5,33.5,125278,1,95,90013,Multifamily Housing,56.4,133.1,4659.6,1906
10542.3,-19.6,-19.6,171213,1,100,90066,Data Center,743.6,2151.9,7019,1998
72.8,-3.1,-3.1,24692,1,100,91304,Multifamily Housing,49.9,82.6,1908.3,1963
10038.1,-24.1,-24.1,171213,1,100,90066,Data Center,913.6,1979.9,7616.8,1998
198.4,-20.1,-20.1,95720,2,95,91405,Multifamily Housing,31.2,70.9,2955.6,2015
643.2,-0.8,-0.8,174000,1,90,90014,Multifamily Housing,55.6,126.9,8660.3,1981
516.5,625.5,625.5,94800,1,100,90001,Non-Refrigerated Warehouse,77.9,214,482.5,1944
54.7,-19.7,-19.7,21950,1,95,91601,Multifamily Housing,41.6,72.4,944,1985
220.4,46.3,46.3,52989,1,100,91606,Movie Theater,59.4,163.9,1427,1987
1382.2,8.1,8.1,382174,4,95,90045,Multifamily Housing,55.3,120.4,12910.6,2010
40.5,-84.5,-84.5,54400,1,100,90034,Multifamily Housing,13.2,18.4,1338.8,1983
133,3.1,3.1,48433,1,100,90046,Multifamily Housing,44.7,84.3,2076.6,1990
569.8,-14.6,-14.6,212000,1,100,91335,Residential Care Facility,41.6,91.9,3494.1,2017
8.3,-93.2,-93.2,55042,1,40,91605,Multifamily Housing,2,6.2,2698.4,1979
86.5,-25.2,-25.2,31575,1,100,90020,Multifamily Housing,46.5,75.8,1676.3,1930
469.8,-22.3,-22.3,102317,1,95,90049,Office,70.1,161.5,960.5,1973
460,16.4,16.4,138584,1,95,91402,Multifamily Housing,43.8,137.4,8634.8,1988
196.1,-19.6,-19.6,59279,1,100,90731,Multifamily Housing,55.2,92.7,2336.2,1987
430.5,-13.3,-13.3,208725,4,95,90066,Multifamily Housing,33,66,80.4,1969
9.2,-91.5,-91.5,35175,1,100,90066,Multifamily Housing,3.5,10.9,1404.5,1970
4516.2,-46.1,-46.1,1090136,1,90,90071,Office,65.5,129.4,5720.4,1985
1559.5,53.1,53.1,70000,1,75,90017,Multifamily Housing,256.8,806.2,20.8,2015
103.5,-58,-58,37000,1,100,91604,Office,47.9,76,405.1,1983
8.1,-93.5,-93.5,48868,1,100,91304,Multifamily Housing,2.4,6.6,4175.3,1969
77.7,-44.5,-44.5,37066,1,100,90024,Multifamily Housing,33.9,65.5,2295,1974
47.6,-8.4,-8.4,45030,1,90,90710,Self-Storage Facility,14,43.6,79.8,2007
38.9,-58.2,-58.2,18300,1,100,90004,Multifamily Housing,38.3,49.4,2496,1926
1240.8,35.2,35.2,172619,1,100,91436,Office,111.6,244.4,6068.9,1980
984.4,-40.9,-40.9,265667,1,80,91367,Office,48.9,153.4,4773.3,1980
1441.2,-38.3,-38.3,237534,1,100,90064,Office,102.2,166.1,4187.2,1984
120.3,-35.9,-35.9,59749,1,95,91403,Multifamily Housing,31.5,67.5,1699.6,1986
89.8,-51.8,-51.8,64990,1,100,90024,Multifamily Housing,18.3,57,4584.8,1986
36.6,-74,-74,47386,1,100,90058,Other,10.2,32,94.3,1944
972.9,-40.8,-40.8,255528,1,90,90067,Office,53.4,145.6,2837.4,1971
22.4,-86.3,-86.3,82550,1,100,90057,Multifamily Housing,3.9,10.8,3830.4,1990
2858.5,42.2,42.2,160740,1,100,91304,Medical Office,269.4,633.7,15335.4,2005
33.3,-30.8,-30.8,36672,1,100,91331,Non-Refrigerated Warehouse,12.9,36.1,379.3,1989
63.4,0,0,17543,1,100,90026,Library,51.3,143.6,238,1997
203,0.1,0.1,100409,1,0,91311,Non-Refrigerated Warehouse,23.3,73.2,601.4,1974
67.4,-29,-29,29312,1,95,90048,Multifamily Housing,37.6,69.9,1064.5,1986
4.3,-94.4,-94.4,25692,1,100,90005,Multifamily Housing,2.4,6.6,2313,1961
46.6,-12.6,-12.6,10988,1,100,90035,Fire Station,66.5,134.9,219,1949
91.1,-61.8,-61.8,115261,1,100,90057,Multifamily Housing,10.4,32.7,2258.6,1962
102.4,-41.8,-41.8,58273,1,90,90013,Wholesale Club/Supercenter,25,69.9,963.8,2000
138.2,-38.4,-38.4,60328,1,95,90019,Multifamily Housing,37.5,69.6,3207701.3,1987
295,-64.3,-64.3,167438,1,80,91403,Office,25,70,2143.6,1966
829.9,-15.6,-15.6,338458,1,95,90292,Multifamily Housing,37.5,81.8,14089.6,2001
130.3,-11.8,-11.8,50772,1,95,91367,Multifamily Housing,42.5,75.9,2614.8,1971
347.1,-9.4,-9.4,48954,1,65,91324,Office,105.3,248.4,1020.3,1983
96,-3.4,-3.4,34190,1,100,90028,Multifamily Housing,48.6,73.9,1950.2,1964
68.6,-17.4,-17.4,30600,1,90,90028,Multifamily Housing,38,62.7,1068.2,1928
805.9,59.7,59.7,100966,1,100,90015,Hotel,127.1,257.8,6977.4,1964
5.2,-88.7,-88.7,15898,1,100,91405,Other - Services,4.9,11.4,16.2,1990
328.6,-36.2,-36.2,153481,1,95,91607,Multifamily Housing,33.3,69.2,5297,2014
33.9,-63.7,-63.7,81332,5,85,91345,Self-Storage Facility,5.5,17.3,27.6,1940
157.3,-27.9,-27.9,69884,1,90,90020,Office,32,89.5,799.1,1969
49.8,-27.5,-27.5,84240,1,100,90502,Non-Refrigerated Warehouse,8.4,23.5,478.5,1981
101.2,28.9,28.9,23400,1,95,91344,Multifamily Housing,68.7,140.3,2003.5,1963
174.9,-14.2,-14.2,87436,1,100,90024,Multifamily Housing,32.4,62.2,6598.6,1951
75.1,39.5,39.5,20393,1,100,91345,Multifamily Housing,58.7,118.9,1292.1,1978
30.8,-65.9,-65.9,75048,1,100,90064,Self-Storage Facility,5.8,16.3,79,1986
90.3,-28.3,-28.3,46312,1,95,91605,Multifamily Housing,31.3,61.8,1919.5,1990
7.6,-60.4,-60.4,40000,1,100,91605,Non-Refrigerated Warehouse,2.7,7.5,70.9,1950
264.8,-19.6,-19.6,96700,2,100,91335,Multifamily Housing,46.5,75.8,7117.6,1963
78.4,-17.4,-17.4,24769,1,100,91042,Multifamily Housing,53.3,89.7,1858.2,1988
982.7,349.1,349.1,116695,1,100,91406,Distribution Center,115.3,332.5,2161.7,1998
546.9,-29.4,-29.4,250575,1,100,90012,Multifamily Housing,35.1,69.2,9269.1,1981
623.2,33.7,33.7,81000,2,100,91345,Strip Mall,109.2,305.8,3272.7,1954
279.7,52.7,52.7,54480,1,100,90064,Retail Store,72.9,204,472,1995
36.8,-78.4,-78.4,39713,1,95,90049,Multifamily Housing,15.8,25.6,1624,1989
62.9,-19.8,-19.8,23713,1,95,91335,Multifamily Housing,44.1,77.4,1594.7,1965
269.2,-87.7,-87.7,455222,1,100,90045,Office,8.8,21.8,1921.7,1969
36.9,-62,-62,23429,1,95,90035,Multifamily Housing,26.4,44.9,784,1967
260.8,-74.3,-74.3,79450,1,100,91325,Hospital (General Medical & Surgical),46.6,130.4,1426.4,1986
3201.2,2175,2175,59242,3,100,91352,Other,794.2,2031,4219.7,1955
62,-20.5,-20.5,27825,1,95,91367,Multifamily Housing,36.6,67.2,1817.4,2003
459,53.5,53.5,95145,1,100,91401,Automobile Dealership,63.6,199.7,1700.7,2011
32.6,-44.6,-44.6,24132,1,100,90025,Multifamily Housing,22.2,40.7,348.6,1987
77.1,-32.6,-32.6,32293,1,90,91436,Office,33.9,94.9,426.1,1970
754.6,-26.3,-26.3,136947,1,100,90048,Office,70.7,183.3,2292.8,1951
354.4,-17.3,-17.3,66087,1,100,91344,Office,79.6,187.8,1208.5,1989
71,-34.9,-34.9,26102,1,100,90020,Multifamily Housing,46.3,75.1,1799.8,1928
145.4,-71.3,-71.3,133720,1,100,91304,Office,14.5,42.5,4129.2,1999
65.9,-3.2,-3.2,65000,1,100,90001,Distribution Center,14.4,40.3,189.1,1928
33.5,-68.8,-68.8,104760,1,100,91331,Non-Refrigerated Warehouse,4.2,13.2,589.8,1983
55.8,6.6,6.6,24324,1,100,91604,Multifamily Housing,35.7,78,983.7,1971
489.9,-23.4,-23.4,119478,1,95,90048,Office,59.5,157.6,1203.6,1970
670.5,485.3,485.3,23954,1,100,90004,Multifamily Housing,495,691.2,298780.3,1986
130.5,-38.4,-38.4,91152,1,100,91316,Multifamily Housing,22.4,47.8,2288.8,2014
114.2,-33.2,-33.2,88101,1,100,90020,Multifamily Housing,27.8,50.5,4446.4,1972
32.9,-74.8,-74.8,52000,1,100,91325,Multifamily Housing,8.3,26.2,1958.4,2002
106.7,-58.7,-58.7,54099,1,100,91367,Office,31.3,64,1167,1978
26.9,-81.8,-81.8,102000,4,100,90023,Distribution Center,3.5,10.9,9.2,1941
161.1,-19.6,-19.6,52596,1,100,90005,Office,43.5,121.7,112.4,1953
383.5,-13.6,-13.6,156250,1,95,91604,Multifamily Housing,39.5,77.6,5234.1,2007
6.5,-87.7,-87.7,27000,1,100,90046,Multifamily Housing,3.4,9.6,1578.3,1968
141.7,-14.5,-14.5,52613,1,95,90036,Multifamily Housing,43.2,85.5,1570.2,1987
79.2,56.6,56.6,21492,1,100,90005,Multifamily Housing,58.7,118.9,1361.7,1988
112.2,-60.2,-60.2,72395,1,100,90020,Multifamily Housing,25.4,47,2821.7,1985
48.4,31.1,31.1,30250,1,100,91406,Non-Refrigerated Warehouse,22.7,63.6,296.2,1979
101.4,-47.8,-47.8,175660,1,100,91406,Distribution Center,7.6,23.9,403.9,2000
91.6,-24.4,-24.4,31386,1,90,91605,Multifamily Housing,49,83.3,2134.2,1990
77.5,-7.4,-7.4,34587,1,100,91401,Multifamily Housing,36,71.3,1805.8,1985
77.6,-10.1,-10.1,26296,1,100,91304,Multifamily Housing,50.5,80,1396,1963
1703.3,80,80,151147,1,100,90230,Wholesale Club/Supercenter,157.7,431.7,4040.7,1989
15.1,-89.5,-89.5,58598,1,100,90007,Other - Services,3.6,10.2,7.2,1945
93.3,-10.6,-10.6,32048,1,100,91306,Multifamily Housing,48.1,86.6,3021.4,1965
259.5,-27.7,-27.7,136488,3,100,90036,Multifamily Housing,30.6,60.2,6093.6,1930
412.8,-6.4,-6.4,27567,1,100,90032,Supermarket/Grocery Store,231.8,512.3,2117,1962
11.6,-86.7,-86.7,33092,1,100,91423,Multifamily Housing,5,14,1159.5,1997
930.4,68.8,68.8,165000,1,100,90013,Refrigerated Warehouse,80.1,224.1,4327.2,1903
83.4,-15.1,-15.1,33902,1,100,91326,Multifamily Housing,41,71.6,3022.9,1964
174.8,-58.5,-58.5,192306,1,95,90036,Multifamily Housing,12,37.6,10640.4,1951
331.3,-7.8,-7.8,118388,1,100,90033,Multifamily Housing,46.5,81.9,6380.9,2014
1169.4,-51.5,-51.5,393836,1,85,90025,Office,40.6,117.6,3928,1985
79.1,-84.9,-84.9,169947,1,100,90732,Multifamily Housing,6.1,19.3,5765.5,2008
31.5,-69.2,-69.2,26763,1,100,91325,Multifamily Housing,21.5,26.3,1090.3,1970
383.3,-12.8,-12.8,59800,1,100,91344,Strip Mall,103.8,199.5,1478.9,1958
226.1,-27.1,-27.1,46115,1,100,90045,Strip Mall,72.4,173.2,827.9,1995
11.5,-95.5,-95.5,91285,7,85,91311,Other - Entertainment/Public Assembly,1.8,5,731.9,1974
55.1,-13.4,-13.4,50000,1,60,90068,Worship Facility,15.6,43.8,934.9,1929
22,-50.5,-50.5,14400,1,100,90039,Multifamily Housing,22.3,58.5,673.2,1963
204.6,-30.2,-30.2,120285,1,100,90501,Distribution Center,22.4,70.4,1386.1,2001
66.4,-15.9,-15.9,32142,1,100,90064,Multifamily Housing,34.6,59.2,1676.4,1973
531.3,11.7,11.7,148707,1,95,90015,Multifamily Housing,54.4,126,7048.1,1994
1201.6,-34,-34,323709,1,90,91367,Office,55.3,136.3,2415.1,1980
179.2,-35.1,-35.1,51568,1,100,90064,Office,52.5,124.6,772.6,1960
139.1,-56.9,-56.9,53176,1,100,91303,Strip Mall,38.4,98.6,1218.6,1979
69.9,-27,-27,34000,1,100,90057,Multifamily Housing,35.2,55.8,1786.3,1926
6.8,-76.2,-76.2,46000,1,5,90021,Distribution Center,2.1,5.9,42.1,2000
484.8,26.2,26.2,126645,1,100,90012,Multifamily Housing,55.6,129.5,3079.7,2014
127.7,-19.6,-19.6,59025,1,100,90020,Multifamily Housing,34.2,67.9,2415.5,1990
1095.1,-44.6,-44.6,360995,1,95,90005,Office,40,125.6,6996.8,1970
296.6,19.1,19.1,141861,1,75,90021,Distribution Center,29.7,83.1,457.7,1987
72.5,80.5,80.5,13500,1,100,90012,Laboratory,70.8,222.2,257.7,1973
62.2,-5.8,-5.8,14546,1,100,91331,Fire Station,64.7,145.3,483.6,1960
134,568,568,8545,1,100,90066,Other - Recreation,207.4,646.8,11769.8,2012
210.9,-3.9,-3.9,82383,1,100,91405,Multifamily Housing,41.1,81,3300.4,1985
73.2,0.5,0.5,22743,1,100,91303,Multifamily Housing,55.7,84.7,1104.9,1963
31.3,13.9,13.9,8650,1,100,90058,Other - Public Services,61.1,101.7,9680.8,1990
572.2,-32.3,-32.3,60826,1,100,91326,Supermarket/Grocery Store,139.9,346.4,2081.2,1999
1201.6,31.7,31.7,172619,1,100,91436,Office,107.7,238.5,4916.2,1980
695.2,-26.1,-26.1,401800,1,95,90034,Multifamily Housing,28.9,50.2,5398.7,1973
104.2,-19.9,-19.9,36204,1,100,90017,Office,41,113.9,404.7,1953
53.8,-42,-42,46128,1,100,90230,Multifamily Housing,17.4,42.6,3462,2004
532.1,20.7,20.7,145000,1,100,91367,Mixed Use Property,49.3,148.6,1097,2012
107.5,32.9,32.9,27625,1,100,90038,Office,55.3,154.7,131.1,1929
180.5,-32.5,-32.5,245518,1,100,91331,Non-Refrigerated Warehouse,10.5,28.8,3613.8,1979
474.6,65,65,54412,1,95,91311,Office,124.1,345.3,1613.7,2000
337.7,10.1,10.1,118000,1,100,91436,Worship Facility,40.7,107.1,1156.8,1960
1307,-61.1,-61.1,655641,1,90,90071,Office,28.3,79.2,4986.1,1990
0.8,-96.4,-96.4,10000,1,100,90023,Other,1.1,3.2,116.7,1946
69.1,-31.8,-31.8,35954,1,100,90025,Multifamily Housing,31.6,58,1240.3,1989
148.6,-12.9,-12.9,67764,3,100,90044,Multifamily Housing,36.7,63.1,4973.8,2010
120.2,14.3,14.3,25840,1,100,91343,Office,72.4,157.4,463.9,1986
100.6,1.7,1.7,17250,1,100,91307,Retail Store,76.9,241.6,363.8,1965
50.5,-44.5,-44.5,24792,1,100,91324,Office,30.1,75.8,170.6,1978
239.6,-11.9,-11.9,51396,1,100,91364,Office,67.1,181.6,607.4,1979
973.4,-27.7,-27.7,297632,1,90,90014,Office,46.4,130,4319.1,1967
157.2,-18.8,-18.8,89946,1,95,90045,Multifamily Housing,25.9,64.6,5177,1949
45.1,-72.5,-72.5,30017,1,100,91304,Multifamily Housing,27.7,32.5,2560.2,1964
118.2,-77.5,-77.5,153252,1,100,90014,Retail Store,11,30.7,644.1,1962
94.6,-38.7,-38.7,62694,1,95,90230,Multifamily Housing,25.1,44.1,1561.9,1990
57.3,26.9,26.9,12500,1,100,91364,Library,65.1,182.3,287.2,2003
59.9,122.3,122.3,10720,1,100,91311,Other - Recreation,77.9,215.2,30584.1,1977
224.5,84.2,84.2,31482,1,100,90036,Office,107.6,255.9,565.2,1951
174,-8.9,-8.9,79203,3,100,90024,Multifamily Housing,36.6,64.1,3881.6,1985
478.3,42.5,42.5,83123,1,100,90013,Multifamily Housing,84.7,204.3,7.6,2010
20,-80.1,-80.1,33744,1,100,90057,Multifamily Housing,8.4,23.5,2086.7,2000
187.4,22.1,22.1,80574,3,100,91601,Multifamily Housing,36.8,76,1287.4,1958
124.8,-30.2,-30.2,79380,1,100,90020,Multifamily Housing,26.1,46.2,3173.2,1972
134.4,-21,-21,57080,0,95,91342,Multifamily Housing,33.4,93.6,5531.8,1971
220.1,35.9,35.9,57000,1,100,91325,Multifamily Housing,58.7,130.1,3611.5,1965
663.5,-3,-3,192306,1,95,90036,Multifamily Housing,61.3,84.1,12446.1,1951
84.3,60.8,60.8,16730,1,100,90013,Residence Hall/Dormitory,77.8,172.8,1380.4,1954
74,-27,-27,34038,1,100,90020,Multifamily Housing,38,55.9,1336.8,1970
22.9,-60,-60,47638,1,85,90025,Self-Storage Facility,6.8,19.1,15.5,2006
94.2,-2.5,-2.5,42267,1,95,90064,Multifamily Housing,36.6,67.2,1499.8,1999
25.1,-62.6,-62.6,11840,1,100,91411,Multifamily Housing,39.9,41.9,1831.2,1958
176.7,-12.6,-12.6,87436,1,100,90024,Multifamily Housing,31,66.9,3274.2,1951
932.3,56,56,191098,1,95,90028,Multifamily Housing,79.6,149.5,10470.7,1959
1048.3,-42.7,-42.7,604522,1,95,90045,Multifamily Housing,27.9,54.9,11557.4,2016
312.4,-6.3,-6.3,73252,1,100,91405,Multifamily Housing,72.5,114.3,4498.8,1986
189.2,-23.7,-23.7,87617,1,100,90012,Multifamily Housing,37.1,58.2,7628.6,2007
50.9,-48.1,-48.1,26000,1,100,91411,Office,28.7,74.2,762,1983
53.1,-14.7,-14.7,25307,1,95,90024,Multifamily Housing,33.3,67.9,1908,1971
88.6,-33.7,-33.7,65970,1,100,90046,Multifamily Housing,20.3,48.2,3502.2,1979
1057.5,-5.9,-5.9,575417,1,100,90013,Multifamily Housing,27.1,65.1,10111.4,1899
54.4,-29.3,-29.3,16772,1,100,91601,Fire Station,49.3,109.2,385.3,1949
925.3,15.5,15.5,110000,1,100,90010,Office,113.3,339.3,2639.1,1984
15,-75.5,-75.5,22867,1,100,90028,Multifamily Housing,9.3,26.1,927.6,1988
731.1,-16,-16,116088,1,100,91307,Strip Mall,102.9,192.2,4407.8,1996
101.2,42.5,42.5,29447,1,100,90068,Multifamily Housing,54,114,1865.8,1964
268.3,-61.5,-61.5,211105,1,95,90020,Multifamily Housing,22.1,33.2,24940.5,1990
405.7,-4.3,-4.3,80362,1,100,91403,Office,80.4,163,1775.9,1964
100,4.4,4.4,22295,2,50,90017,Hotel,75,129.3,2128.2,1954
92.1,36.3,36.3,28020,1,100,90068,Multifamily Housing,51.1,111.4,1445.2,1963
269,-16.4,-16.4,117653,0,100,91406,Multifamily Housing,35.1,75.5,4605.8,1983
8.3,-93.4,-93.4,85085,1,100,90744,Non-Refrigerated Warehouse,1.3,4,58.3,1970
73.1,-55,-55,69136,1,100,90024,Multifamily Housing,14.6,41.4,5252.1,2007
14,-86,-86,50000,1,85,91403,Multifamily Housing,4,11.2,1604.8,1985
36.5,-18.7,-18.7,12411,1,100,90041,Library,41.7,116.8,154.9,1981
489.1,33.5,33.5,105133,1,100,90012,Hotel,72.4,157.4,1887.5,1986
310.6,26.7,26.7,31286,3,90,90036,Multifamily Housing,154.6,320.2,3193,2002
22.5,-83.7,-83.7,71232,1,100,90027,Multifamily Housing,4.2,13.1,1393.3,1987
226.8,-34.4,-34.4,114179,1,100,90057,Multifamily Housing,33.1,55.8,7327.2,1970
7.5,-86.6,-86.6,18810,1,100,91406,Multifamily Housing,5.7,15.8,2022.9,1970
3,-92.4,-92.4,18700,4,95,90032,Multifamily Housing,2.3,6.4,1705.9,1989
168,-63.5,-63.5,199676,2,100,91601,Multifamily Housing,13.1,28.4,10383,1970
8.2,-82.3,-82.3,12712,1,90,90019,Multifamily Housing,9.1,25.6,1332.5,1964
205.1,1.3,1.3,74133,1,95,90046,Multifamily Housing,42.5,91.5,3990.9,1988
8482.1,201.6,201.6,1000000,1,95,90007,Multifamily Housing,128.1,304.2,34990.7,2014
181.6,-25.7,-25.7,83178,1,100,91405,Multifamily Housing,36.7,62.4,2767,1970
127,-56.8,-56.8,110668,1,100,90031,Multifamily Housing,17.9,36.7,2853.1,2002
139,-33.5,-33.5,55000,2,100,90018,Office,34.9,98.4,139.9,1948
54.7,16.5,16.5,8538,1,100,90018,Other - Public Services,116.1,143.4,35.4,1990
3162.3,14.7,14.7,242176,1,100,90017,Data Center,172.2,540.7,10019.6,1985
380.1,-29.7,-29.7,182766,1,100,90039,Performing Arts,30.4,78.7,721.1,1965
146.1,-15.9,-15.9,49557,1,95,90024,Multifamily Housing,48.6,87.9,3370,1987
242.8,-24.6,-24.6,75496,1,100,90291,Retail Store,43,131,1065.2,1965
86.4,-12.4,-12.4,24882,1,100,90057,Multifamily Housing,59.6,94,2599.5,1923
27.1,-79.4,-79.4,26810,1,100,91607,Multifamily Housing,18,24.4,1088,1986
964.2,329.4,329.4,79935,1,100,90033,Mixed Use Property,193.5,383.4,2512.6,1975
275.6,39.8,39.8,88842,1,95,90094,Multifamily Housing,49.1,101.3,4771.8,2015
27.4,-78.4,-78.4,24938,1,95,90027,Multifamily Housing,19.8,25.5,1183.7,1959
78.5,-87.1,-87.1,244985,1,100,90017,Mixed Use Property,13.9,15.9,13762.4,2003
90.1,5.3,5.3,29648,1,100,91306,Multifamily Housing,51.6,84.3,1817,1962
